Từ vựng,Phát âm,Nghĩa,Chủ đề
garnish,/ˈɡɑːrnɪʃ/,trang trí,Từ vựng về nấu ăn
plating,/ˈpleɪtɪŋ/,dọn đĩa,Từ vựng về nấu ăn
painting,/ˈpeɪntɪŋ/,hội họa,Từ vựng về sở thích
photography,/fəˈtɑːɡrə/,nhiếp ảnh,Từ vựng về sở thích
gardening,/ˈɡɑːrdnɪŋ/,làm vườn,Từ vựng về sở thích
cooking,/ˈkʊkɪŋ/,nấu ăn,Từ vựng về sở thích
reading,/ˈriːdɪŋ/,đọc sách,Từ vựng về sở thích
writing,/ˈraɪtɪŋ/,viết,Từ vựng về sở thích
drawing,/ˈdrɔːɪŋ/,vẽ,Từ vựng về sở thích
hiking,/ˈhaɪkɪŋ/,leo núi,Từ vựng về sở thích
shing,/ˈfɪʃɪŋ/,câu cá,Từ vựng về sở thích
knitting,/ˈnɪtɪŋ/,đan len,Từ vựng về sở thích
dancing,/ˈdænsɪŋ/,khiêu vũ,Từ vựng về sở thích
playing guitar,/ˈpleɪɪŋ ɡɪˈtɑːr/,chơi guitar,Từ vựng về sở thích
playing piano,/ˈpleɪɪŋ piˈænoʊ/,chơi piano,Từ vựng về sở thích
playing chess,/ˈpleɪɪŋ ʧɛs/,chơi cờ,Từ vựng về sở thích
playing tennis,/ˈpleɪɪŋ ˈtɛnɪs/,chơi quần vợt,Từ vựng về sở thích
collecting stamps,/kəˈlɛktɪŋ stæmps/,sưu tập tem,Từ vựng về sở thích
birdwatching,/ˈbɜːrdˌwɑːʧɪŋ/,quan sát chim,Từ vựng về sở thích
playing video games,/ˈpleɪɪŋ ˈvɪdi.oʊ ɡeɪmz/,chơi game,Từ vựng về sở thích
cycling,/ˈsaɪklɪŋ/,đi xe đạp,Từ vựng về sở thích
hiking,/ˈhaɪkɪŋ/,đi bộ đường dài,Từ vựng về sở thích
melody,/ˈmɛlədi/,giai điệu,Từ vựng về âm nhạc
rhythm,/ˈrɪðəm/,nhịp điệu,Từ vựng về âm nhạc
harmony,/ˈhɑːrməni/,âm điệu,Từ vựng về âm nhạc
tempo,/ˈtɛmpoʊ/,nhịp độ,Từ vựng về âm nhạc
beat,/biːt/,nhịp,Từ vựng về âm nhạc
lyrics,/ˈlɪrɪks/,lời bài hát,Từ vựng về âm nhạc
chorus,/ˈkɔːrəs/,đoạn hợp xướng,Từ vựng về âm nhạc
verse,/vɜːrs/,đoạn hợp ca,Từ vựng về âm nhạc
solo,/ˈsoʊloʊ/,màn trình diễn đơn,Từ vựng về âm nhạc
duet,/ˈduːɛt/,hòa âm đôi,Từ vựng về âm nhạc
orchestra,/ˈɔːrkɪstrə/,dàn nhạc,Từ vựng về âm nhạc
conductor,/kənˈdʌktər/,người chỉ huy dàn nhạc,Từ vựng về âm nhạc
instrument,/ˈɪnstrəmənt/,nhạc cụ,Từ vựng về âm nhạc
piano,/piˈænoʊ/,đàn piano,Từ vựng về âm nhạc
guitar,/ɡɪˈtɑːr/,đàn guitar,Từ vựng về âm nhạc
violin,/ˈvaɪəlɪn/,đàn vi-ô-lông,Từ vựng về âm nhạc
trumpet,/ˈtrʌmpɪt/,kèn trumpet,Từ vựng về âm nhạc
drums,/drʌmz/,trống,Từ vựng về âm nhạc
voice,/vɔɪs/,giọng,Từ vựng về âm nhạc
concert,/ˈkɑːnsərt/,buổi hòa nhạc,Từ vựng về âm nhạc
shop,/ʃɑːp/,cửa hàng,Từ vựng về shopping
store,/stɔːr/,cửa hàng,Từ vựng về shopping
mall,/mɔːl/,trung tâmmua sắm,Từ vựng về shopping
market,/ˈmɑːrkɪt/,chợ,Từ vựng về shopping
customer,/ˈkʌstəmər/,khách hàng,Từ vựng về shopping
sale,/seɪl/,giảm giá,Từ vựng về shopping
discount,/ˈdɪskaʊnt/,giảm giá,Từ vựng về shopping
cashier,/kæˈʃɪər/,thu ngân,Từ vựng về shopping
receipt,/rɪˈsiːpt/,biên lai,Từ vựng về shopping
basket,/ˈbæskɪt/,giỏ,Từ vựng về shopping
cart,/kɑːrt/,xe đẩy hàng,Từ vựng về shopping
aisle,/aɪl/,lối đi,Từ vựng về shopping
checkout,/ˈtʃɛkaʊt/,quầy thanh toán,Từ vựng về shopping
payment,/ˈpeɪmənt/,thanh toán,Từ vựng về shopping
size,/saɪz/,kích cỡ,Từ vựng về shopping
tting room,/ˈfɪtɪŋ ruːm/,phòng thử đồ,Từ vựng về shopping
receipt,/rɪˈsiːpt/,biên lai,Từ vựng về shopping
sale,/seɪl/,giảm giá,Từ vựng về shopping
hanger,/ˈhæŋər/,móc treo áo,Từ vựng về shopping
shelf,/ʃɛlf/,kệ,Từ vựng về shopping
travel,/ˈtrævəl/,du lịch,Từ vựng về du lịch
trip,/trɪp/,chuyến đi,Từ vựng về du lịch
destination,/ˌdɛstɪˈneɪʃən/,điểm đến,Từ vựng về du lịch
itinerary,/aɪˈtɪnərəri/,lịch trình,Từ vựng về du lịch
tourist,/ˈtʊrɪst/,du khách,Từ vựng về du lịch
sightseeing,/ˈsaɪtˌsiːɪŋ/,tham quan,Từ vựng về du lịch
explore,/ɪkˈsplɔːr/,khám phá,Từ vựng về du lịch
adventure,/ədˈvɛnʧər/,cuộc phiêu lưu,Từ vựng về du lịch
accommodation,/əˌkɑːməˈdeɪʃən/,chỗ ở,Từ vựng về du lịch
hotel,/hoʊˈtɛl/,khách sạn,Từ vựng về du lịch
hostel,/ˈhɑːstəl/,nhà trọ,Từ vựng về du lịch
passport,/ˈpæspɔːrt/,hộ chiếu,Từ vựng về du lịch
visa,/ˈviːzə/,visa,Từ vựng về du lịch
luggage,/ˈlʌɡɪdʒ/,hành lý,Từ vựng về du lịch
airport,/ˈɛrˌpɔːrt/,sân bay,Từ vựng về du lịch
departure,/dɪˈpɑːrʧər/,khởi hành,Từ vựng về du lịch
arrival,/əˈraɪvəl/,đến nơi,Từ vựng về du lịch
currency,/ˈkɜːrənsi/,tiền tệ,Từ vựng về du lịch
exchange,/ɪksˈʧeɪndʒ/,trao đổi,Từ vựng về du lịch
guide,/ɡaɪd/,hướng dẫn viên,Từ vựng về du lịch
photography,/fəˈtɑːɡrə/,nhiếp ảnh,Từ vựng về du lịch
camera,/ˈkæmərə/,máy ảnh,Từ vựng về du lịch
lens,/lɛnz/,ống kính,Từ vựng về du lịch
shutter,/ˈʃʌtər/,cửa khẩu (trong máy ảnh),Từ vựng về du lịch
focus,/ˈfoʊkəs/,lấy nét,Từ vựng về du lịch
exposure,/ɪkˈspoʊʒər/,chụp sáng,Từ vựng về du lịch
aperture,/ˈæpərʧər/,khẩu độ,Từ vựng về du lịch
ISO,/ˌaɪɛsˈoʊ/,độ nhạy sáng ISO,Từ vựng về du lịch
shutter speed,/ˈʃʌtər spid/,tốc độ chụp,Từ vựng về du lịch
white balance,/waɪt ˈbæləns/,cân bằng trắng,Từ vựng về du lịch
composition,/ˌkɑːmpəˈzɪʃən/,cách bố trí,Từ vựng về du lịch
frame,/freɪm/,khung ảnh,Từ vựng về du lịch
exposure,/ɪkˈspoʊʒər/,sự tiếp xúc ánh sáng,Từ vựng về du lịch
zoom,/zuːm/,thu phóng,Từ vựng về du lịch
portrait,/ˈpɔːrtrɪt/,chân dung,Từ vựng về du lịch
landscape,/ˈlændskeɪp/,phong cảnh,Từ vựng về du lịch
aperture,/ˈæpərʧər/,giới hạn (trong ống kính),Từ vựng về du lịch
megapixel,/ˈmɛɡəˌpɪksəl/,triệu điểm ảnh,Từ vựng về du lịch
exposure,/ɪkˈspoʊʒər/,ánh sáng tiếp xúc,Từ vựng về du lịch
editing,/ˈɛdɪtɪŋ/,chỉnh sửa,Từ vựng về du lịch
entertainment,/ˌɛntərˈteɪnmənt/,giải trí,Từ vựng về giải trí
movie,/ˈmuːvi/,phim,Từ vựng về giải trí
theater,/ˈθiːətər/,"rạp hát, nhà hát",Từ vựng về giải trí
concert,/ˈkɑːnsərt/,buổi hòa nhạc,Từ vựng về giải trí
performance,/pərˈfɔːrməns/,biểu diễn,Từ vựng về giải trí
music,/ˈmjuːzɪk/,âm nhạc,Từ vựng về giải trí
dance,/dæns/,khiêu vũ,Từ vựng về giải trí
festival,/ˈfɛstəvəl/,lễ hội,Từ vựng về giải trí
exhibition,/ˌɛksɪˈbɪʃən/,triển lãm,Từ vựng về giải trí
art,/ɑːrt/,nghệ thuật,Từ vựng về giải trí
comedy,/ˈkɑːmədi/,hài kịch,Từ vựng về giải trí
drama,/ˈdrɑːmə/,kịch,Từ vựng về giải trí
performance,/pərˈfɔːrməns/,sự biểu diễn,Từ vựng về giải trí
actor,/ˈæktər/,diễn viên,Từ vựng về giải trí
actress,/ˈæktrəs/,nữ diễn viên,Từ vựng về giải trí
audience,/ˈɔːdiəns/,khán giả,Từ vựng về giải trí
ticket,/ˈtɪkɪt/,vé,Từ vựng về giải trí
applause,/əˈplɔːz/,tràng pháo tay,Từ vựng về giải trí
performer,/pərˈfɔːrmər/,nghệ sĩ,Từ vựng về giải trí
show,/ʃoʊ/,chương trình,Từ vựng về giải trí
action,/ˈækʃən/,hành động,Từ vựng về các thể loại phim
adventure,/ədˈvɛnʧər/,phiêu lưu,Từ vựng về các thể loại phim
comedy,/ˈkɑːmədi/,hài,Từ vựng về các thể loại phim
drama,/ˈdrɑːmə/,"kịch, tình cảm",Từ vựng về các thể loại phim
thriller,/ˈθrɪlər/,hồi hộp,Từ vựng về các thể loại phim
horror,/ˈhɔːrər/,kinh dị,Từ vựng về các thể loại phim
romance,/ˈroʊmæns/,tình cảm,Từ vựng về các thể loại phim
science ction,/ˈsaɪəns ˈfɪkʃən/,khoa học viễn tưởng,Từ vựng về các thể loại phim
fantasy,/ˈfæntəsi/,"huyền bí, ảo tưởng",Từ vựng về các thể loại phim
animation,/ˌænɪˈmeɪʃən/,hoạt hình,Từ vựng về các thể loại phim
musical,/ˈmjuːzɪkəl/,nhạc kịch,Từ vựng về các thể loại phim
documentary,/ˌdɑːkjəˈmɛntəri/,phim tài liệu,Từ vựng về các thể loại phim
crime,/kraɪm/,tội phạm,Từ vựng về các thể loại phim
suspense,/səˈspɛns/,"căng thẳng, hồi hộp",Từ vựng về các thể loại phim
western,/ˈwɛstərn/,phimmiền Tây,Từ vựng về các thể loại phim
historical,/hɪˈstɔːrɪkəl/,lịch sử,Từ vựng về các thể loại phim
thriller,/ˈθrɪlər/,ly kỳ,Từ vựng về các thể loại phim
war,/wɔːr/,chiến tranh,Từ vựng về các thể loại phim
romantic comedy,/roʊˈmæntɪk ˈkɑːmədi/,hài lãng mạn,Từ vựng về các thể loại phim
biopic,/ˈbaɪɑːpɪk/,phim truyện tiểu sử,Từ vựng về các thể loại phim
ction,/ˈfɪkʃən/,tiểu thuyết,Từ vựng về các thể loại sách
non-ction,/nɑnˈfɪkʃən/,phi hư cấu,Từ vựng về các thể loại sách
mystery,/ˈmɪstəri/,"bí ẩn, trinh thám",Từ vựng về các thể loại sách
romance,/ˈroʊmæns/,tình cảm,Từ vựng về các thể loại sách
science ction,/ˈsaɪəns ˈfɪkʃən/,khoa học viễn tưởng,Từ vựng về các thể loại sách
fantasy,/ˈfæntəsi/,huyền bí,Từ vựng về các thể loại sách
thriller,/ˈθrɪlər/,ly kỳ,Từ vựng về các thể loại sách
horror,/ˈhɔːrər/,kinh dị,Từ vựng về các thể loại sách
biography,/baɪˈɑːɡrə/,tiểu sử,Từ vựng về các thể loại sách
autobiography,/ˌɔːtoʊbaɪˈɑːɡrə/,tự truyện,Từ vựng về các thể loại sách
historical ction,/hɪˈstɔːrɪkəl ˈfɪkʃən/,tiểu thuyết lịch sử,Từ vựng về các thể loại sách
poetry,/ˈpoʊətri/,thơ,Từ vựng về các thể loại sách
drama,/ˈdrɑːmə/,kịch,Từ vựng về các thể loại sách
comedy,/ˈkɑːmədi/,hài,Từ vựng về các thể loại sách
thriller,/ˈθrɪlər/,"căng thẳng, hồi hộp",Từ vựng về các thể loại sách
adventure,/ədˈvɛnʧər/,phiêu lưu,Từ vựng về các thể loại sách
young adult,/jʌŋ ˈædʌlt/,thanh thiếu niên,Từ vựng về các thể loại sách
children's,/ˈtʃɪldrənz/,thiếu nhi,Từ vựng về các thể loại sách
self-help,/ˌsɛlf ˈhɛlp/,tự giúp bản thân,Từ vựng về các thể loại sách
historical romance,/hɪˈstɔːrɪkəl ˈroʊmæns/,tình cảm lịch sử,Từ vựng về các thể loại sách
beauty,/ˈbjuːti/,vẻ đẹp,Từ vựng về làm đẹp
attractive,/əˈtræktɪv/,hấp dẫn,Từ vựng về làm đẹp
radiant,/ˈreɪdiənt/,"rực rỡ, tươi sáng",Từ vựng về làm đẹp
glamorous,/ˈɡlæmərəs/,"quyến rũ, sang trọng",Từ vựng về làm đẹp
elegant,/ˈɛlɪɡənt/,"thanh lịch, tao nhã",Từ vựng về làm đẹp
stunning,/ˈstʌnɪŋ/,"ngoạn mục, gây ấn tượng",Từ vựng về làm đẹp
graceful,/ˈɡreɪsfəl/,"duyên dáng, uyển chuyển",Từ vựng về làm đẹp
charming,/ˈʧɑːrmɪŋ/,"quyến rũ, thu hút",Từ vựng về làm đẹp
flawless,/ˈflɔːlɪs/,"hoàn hảo, không tỳ vết",Từ vựng về làm đẹp
youthful,/ˈjuːθfəl/,"trẻ trung, tươi trẻ",Từ vựng về làm đẹp
vibrant,/ˈvaɪbrənt/,"sôi động, sáng láng",Từ vựng về làm đẹp
alluring,/əˈljʊrɪŋ/,"quyến rũ, lôi cuốn",Từ vựng về làm đẹp
sophisticated,/səˈfɪstɪkeɪtɪd/,"tinh vi, phức tạp",Từ vựng về làm đẹp
charming,/ˈʧɑːrmɪŋ/,"duyên dáng, lịch thiệp",Từ vựng về làm đẹp
glamorous,/ˈɡlæmərəs/,"hào nhoáng, sang trọng",Từ vựng về làm đẹp
stylish,/ˈstaɪlɪʃ/,"phong cách, lịch lãm",Từ vựng về làm đẹp
radiant,/ˈreɪdiənt/,"tươi sáng, tỏa sáng",Từ vựng về làm đẹp
attractive,/əˈtræktɪv/,"hấp dẫn, lôi cuốn",Từ vựng về làm đẹp
charming,/ˈʧɑːrmɪŋ/,"quyến rũ, dễ thương",Từ vựng về làm đẹp
graceful,/ˈɡreɪsfəl/,"duyên dáng, thanh nhã",Từ vựng về làm đẹp
sport,/spɔːrt/,môn thể thao,Từ vựng về các môn thể thao
athlete,/ˈæθliːt/,vận động viên,Từ vựng về các môn thể thao
team,/tiːm/,đội,Từ vựng về các môn thể thao
competition,/ˌkɒmpɪˈtɪʃən/,"cuộc thi, cạnh tranh",Từ vựng về các môn thể thao
tournament,/ˈtʊərnəmənt/,"giải đấu, giải thể thao",Từ vựng về các môn thể thao
referee,/ˈrɛfəriː/,trọng tài,Từ vựng về các môn thể thao
stadium,/ˈsteɪdiəm/,sân vận động,Từ vựng về các môn thể thao
coach,/koʊʧ/,huấn luyện viên,Từ vựng về các môn thể thao
champion,/ˈʧæmpiən/,nhà vô địch,Từ vựng về các môn thể thao
victory,/ˈvɪktəri/,chiến thắng,Từ vựng về các môn thể thao
defeat,/dɪˈːt/,thất bại,Từ vựng về các môn thể thao
medal,/ˈmɛdl/,huy chương,Từ vựng về các môn thể thao
record,/ˈrɛkɔːrd/,kỷ lục,Từ vựng về các môn thể thao
athlete,/ˈæθliːt/,vận động viên,Từ vựng về các môn thể thao
equipment,/ɪˈkwɪpmənt/,trang thiết bị,Từ vựng về các môn thể thao
tness,/ˈfɪtnəs/,thể lực,Từ vựng về các môn thể thao
endurance,/ɪnˈdʊrəns/,sức bền,Từ vựng về các môn thể thao
agility,/əˈʤɪləti/,sự nhanh nhẹn,Từ vựng về các môn thể thao
strength,/strɛŋθ/,sức mạnh,Từ vựng về các môn thể thao
flexibility,/ˌflɛksəˈbɪlɪti/,sự linh hoạt,Từ vựng về các môn thể thao
football,/ˈfʊtbɔːl/,bóng đá,Từ vựng về bóng đá
goal,/ɡoʊl/,bàn thắng,Từ vựng về bóng đá
player,/ˈpleɪər/,cầu thủ,Từ vựng về bóng đá
referee,/ˈrɛfəriː/,trọng tài,Từ vựng về bóng đá
team,/tiːm/,đội,Từ vựng về bóng đá
coach,/koʊʧ/,huấn luyện viên,Từ vựng về bóng đá
captain,/ˈkæptən/,đội trưởng,Từ vựng về bóng đá
match,/mætʃ/,trận đấu,Từ vựng về bóng đá
stadium,/ˈsteɪdiəm/,sân vận động,Từ vựng về bóng đá
dribble,/ˈdrɪbəl/,đi bóng,Từ vựng về bóng đá
pass,/pæs/,chuyền bóng,Từ vựng về bóng đá
shoot,/ʃuːt/,sút bóng,Từ vựng về bóng đá
tackle,/ˈtækəl/,"phá bóng, cắt bóng",Từ vựng về bóng đá
penalty,/ˈpɛnəlti/,đá phạt đền,Từ vựng về bóng đá
corner,/ˈkɔːrnər/,quả phạt góc,Từ vựng về bóng đá
header,/ˈhɛdər/,đánh đầu,Từ vựng về bóng đá
foul,/faʊl/,vi phạm,Từ vựng về bóng đá
oside,/ˈɔfˌsaɪd/,việt vị,Từ vựng về bóng đá
substitution,/ˌsʌbstɪˈtuːʃən/,thay người,Từ vựng về bóng đá
league,/liːɡ/,giải bóng đá,Từ vựng về bóng đá
house,/haʊs/,nhà,Từ vựng về nhà cửa
apartment,/əˈpɑːrtmənt/,căn hộ,Từ vựng về nhà cửa
bedroom,/ˈbɛdruːm/,phòng ngủ,Từ vựng về nhà cửa
living room,/ˈlɪvɪŋ ruːm/,phòng khách,Từ vựng về nhà cửa
kitchen,/ˈkɪʧɪn/,nhà bếp,Từ vựng về nhà cửa
bathroom,/ˈbæθruːm/,phòng tắm,Từ vựng về nhà cửa
balcony,/ˈbælkəni/,ban công,Từ vựng về nhà cửa
backyard,/ˈbækjɑːrd/,sân sau,Từ vựng về nhà cửa
garden,/ˈɡɑːrdən/,vườn,Từ vựng về nhà cửa
garage,/ˈɡærɑːʒ/,nhà để xe,Từ vựng về nhà cửa
roof,/ruːf/,mái nhà,Từ vựng về nhà cửa
wall,/wɔːl/,bức tường,Từ vựng về nhà cửa
floor,/flɔːr/,sàn,Từ vựng về nhà cửa
window,/ˈwɪndoʊ/,cửa sổ,Từ vựng về nhà cửa
door,/dɔːr/,cửa,Từ vựng về nhà cửa
staircase,/ˈstɛrkeɪs/,cầu thang,Từ vựng về nhà cửa
furniture,/ˈfɜːrnɪʧər/,nội thất,Từ vựng về nhà cửa
rent,/rɛnt/,"thuê, tiền thuê",Từ vựng về nhà cửa
landlord,/ˈlændlɔːrd/,"chủ nhà, chủ nhà trọ",Từ vựng về nhà cửa
tenant,/ˈtɛnənt/,người thuê nhà,Từ vựng về nhà cửa
kitchen,/ˈkɪʧɪn/,nhà bếp,Từ vựng về nhà bếp
stove,/stoʊv/,bếp,Từ vựng về nhà bếp
oven,/ˈʌvən/,lò nướng,Từ vựng về nhà bếp
refrigerator,/rɪˈfrɪʤəreɪtər/,tủ lạnh,Từ vựng về nhà bếp
microwave,/ˈmaɪkrəˌweɪv/,lò vi sóng,Từ vựng về nhà bếp
sink,/sɪŋk/,bồn rửa,Từ vựng về nhà bếp
faucet,/ˈfɔːsɪt/,vòi nước,Từ vựng về nhà bếp
dishwasher,/ˈdɪʃˌwɑːʃər/,máy rửa chén,Từ vựng về nhà bếp
countertop,/ˈkaʊntərˌtɑːp/,mặt bếp,Từ vựng về nhà bếp
cabinet,/ˈkæbənɪt/,tủ,Từ vựng về nhà bếp
cutting board,/ˈkʌtɪŋ bɔːrd/,thớt cắt,Từ vựng về nhà bếp
knife,/naɪf/,con dao,Từ vựng về nhà bếp
spoon,/spuːn/,cái thìa,Từ vựng về nhà bếp
fork,/fɔːrk/,cái nĩa,Từ vựng về nhà bếp
plate,/pleɪt/,đĩa,Từ vựng về nhà bếp
bowl,/boʊl/,tô,Từ vựng về nhà bếp
pot,/pɒt/,nồi,Từ vựng về nhà bếp
pan,/pæn/,chảo,Từ vựng về nhà bếp
whisk,/wɪsk/,cái đánh trứng,Từ vựng về nhà bếp
blender,/ˈblɛndər/,máy xay,Từ vựng về nhà bếp
Tet holiday,/tɛt ˈhɑlədeɪ/,Tết,Từ vựng về Tết
Lunar New Year,/ˈlunər njuː jɪr/,Tết Nguyên đán,Từ vựng về Tết
celebration,/ˌsɛləˈbreɪʃən/,lễ kỷ niệm,Từ vựng về Tết
family reunion,/ˈfæməli riːˈjunjən/,sum họp gia đình,Từ vựng về Tết
red envelope,/rɛd ɪnˈvɛloʊp/,phong bì đỏ,Từ vựng về Tết
recrackers,/ˈfaɪərˌkrækərz/,pháo hoa,Từ vựng về Tết
traditional,/trəˈdɪʃənəl/,truyền thống,Từ vựng về Tết
customs,/ˈkʌstəmz/,phong tục,Từ vựng về Tết
lion dance,/ˈlaɪən dæns/,múa lân,Từ vựng về Tết
dragon dance,/ˈdrægən dæns/,múa rồng,Từ vựng về Tết
ancestor worship,/ˈænsɛstər ˈwɜːrʃɪp/,thờ cúng tổ tiên,Từ vựng về Tết
traditional food,/trəˈdɪʃənəl fuːd/,đồ ăn truyền thống,Từ vựng về Tết
sticky rice cake,/ˈstɪki raɪs keɪk/,bánh chưng/bánh dày,Từ vựng về Tết
pickled vegetables,/ˈpɪkl̩d ˈvɛdʒtəbəlz/,dưa hành,Từ vựng về Tết
banh tet,/bʌn tɛt/,bánh tét,Từ vựng về Tết
ve-fruit tray,/faɪv-fruːt treɪ/,mâm ngũ quả,Từ vựng về Tết
ancestral altar,/ænˈsɛstərəl ˈɔːltər/,bàn thờ tổ tiên,Từ vựng về Tết
wishes,/ˈwɪʃɪz/,lời chúc,Từ vựng về Tết
cultural heritage,/ˈkʌlʧərəl ˈhɛrɪtɪʤ/,di sản văn hóa,Từ vựng về Tết
festive atmosphere,/ˈfɛstɪv ˈætˌmɑːsfɪr/,không khí lễ hội,Từ vựng về Tết
lifestyle,/ˈlaɪfˌstaɪl/,lối sống,Từ vựng về đời sống
routine,/ruˈtin/,lịch trình,Từ vựng về đời sống
healthy,/ˈhɛlθi/,lành mạnh,Từ vựng về đời sống
exercise,/ˈɛksərˌsaɪz/,tập luyện,Từ vựng về đời sống
diet,/ˈdaɪət/,chế độ ăn uống,Từ vựng về đời sống
balanced,/ˈbælənst/,cân đối,Từ vựng về đời sống
stress,/strɛs/,căng thẳng,Từ vựng về đời sống
relaxation,/ˌriːlækˈseɪʃən/,thư giãn,Từ vựng về đời sống
meditation,/ˌmɛdɪˈteɪʃən/,thiền,Từ vựng về đời sống
mindfulness,/ˈmaɪndfəlnəs/,tỉnh thức,Từ vựng về đời sống
sleep,/sliːp/,giấc ngủ,Từ vựng về đời sống
hobbies,/ˈhɑbiz/,sở thích,Từ vựng về đời sống
socialize,/ˈsoʊʃəˌlaɪz/,giao lưu,Từ vựng về đời sống
leisure,/ˈliʒər/,thời gian rảnh rỗi,Từ vựng về đời sống
self-care,/sɛlf-kɛr/,chăm sóc bản thân,Từ vựng về đời sống
mindfulness,/ˈmaɪndfəlnəs/,tỉnh thức,Từ vựng về đời sống
work-life balance,/wɜrk-laɪf ˈbæləns/,cân bằng công việc và cuộc sống,Từ vựng về đời sống
productivity,/ˌproʊˌdʌkˈtɪvəti/,năng suất,Từ vựng về đời sống
well-being,/wɛl ˈbiɪŋ/,sự khỏe mạnh,Từ vựng về đời sống
personal development,/ˈpɜrsənəl dɪˈvɛləpmənt/,phát triển cá nhân,Từ vựng về đời sống
dog,/dɔɡ/,chó,Từ vựng về con vật
cat,/kæt/,mèo,Từ vựng về con vật
lion,/ˈlaɪən/,sư tử,Từ vựng về con vật
tiger,/ˈtaɪɡər/,hổ,Từ vựng về con vật
elephant,/ˈɛləfənt/,voi,Từ vựng về con vật
girae,/dʒəˈræf/,hươu cao cổ,Từ vựng về con vật
monkey,/ˈmʌŋki/,khỉ,Từ vựng về con vật
bear,/bɛr/,gấu,Từ vựng về con vật
dolphin,/ˈdɒlfɪn/,cá heo,Từ vựng về con vật
shark,/ʃɑrk/,cá mập,Từ vựng về con vật
horse,/hɔrs/,ngựa,Từ vựng về con vật
cow,/kaʊ/,bò,Từ vựng về con vật
sheep,/ʃip/,cừu,Từ vựng về con vật
rabbit,/ˈræbɪt/,thỏ,Từ vựng về con vật
bird,/bɜrd/,chim,Từ vựng về con vật
butterfly,/ˈbʌtərflaɪ/,bướm,Từ vựng về con vật
sh,/fɪʃ/,cá,Từ vựng về con vật
snake,/sneɪk/,rắn,Từ vựng về con vật
spider,/ˈspaɪdər/,nhện,Từ vựng về con vật
turtle,/ˈtɜrtl̩/,rùa,Từ vựng về con vật
rose,/roʊz/,hoa hồng,Từ vựng về con vật
sunflower,/ˈsʌnˌflaʊər/,hoa hướng dương,Từ vựng về con vật
daisy,/ˈdeɪzi/,cúc,Từ vựng về con vật
tulip,/ˈtjuːlɪp/,hoa tulip,Từ vựng về con vật
lily,/ˈlɪli/,hoa huệ,Từ vựng về con vật
orchid,/ˈɔrkɪd/,hoa lan,Từ vựng về con vật
daodil,/ˈdæfəˌdɪl/,hoa thuỷ tiên,Từ vựng về con vật
carnation,/kɑrˈneɪʃən/,hoa cẩm chướng,Từ vựng về con vật
lavender,/ˈlævəndər/,hoa oải hương,Từ vựng về con vật
peony,/ˈpiːni/,hoa mẫu đơn,Từ vựng về con vật
hibiscus,/hɪˈbɪskəs/,hoa bụp giấm,Từ vựng về con vật
cherry blossom,/ˈtʃɛri ˈblɑsəm/,hoa anh đào,Từ vựng về con vật
marigold,/ˈmærɪˌgoʊld/,hoa cúc vạn thọ,Từ vựng về con vật
jasmine,/ˈdʒæzmɪn/,hoa nhài,Từ vựng về con vật
chrysanthemum,/krɪˈsænθəməm/,hoa cúc,Từ vựng về con vật
violet,/ˈvaɪələt/,hoa violet,Từ vựng về con vật
geranium,/dʒəˈreɪniəm/,hoa giấy,Từ vựng về con vật
iris,/ˈaɪrɪs/,hoa diên vĩ,Từ vựng về con vật
lotus,/ˈloʊtəs/,hoa sen,Từ vựng về con vật
dahlia,/ˈdeɪliə/,hoa huệ tây,Từ vựng về con vật
Christmas,/ˈkrɪsməs/,Giáng sinh,Từ vựng về Giáng sinh
Santa Claus,/ˈsæntə klɔz/,Ông già Noel,Từ vựng về Giáng sinh
Christmas tree,/ˈkrɪsməs triː/,Cây thông Noel,Từ vựng về Giáng sinh
Decorations,/ˌdɛkəˈreɪʃənz/,Trang trí,Từ vựng về Giáng sinh
Gifts,/ɡɪfts/,Quà tặng,Từ vựng về Giáng sinh
Stockings,/ˈstɑkɪŋz/,Ống túi đựng quà,Từ vựng về Giáng sinh
Reindeer,/ˈreɪnˌdɪr/,Tuần lộc,Từ vựng về Giáng sinh
Sleigh,/sleɪ/,Xe trượt tuyết,Từ vựng về Giáng sinh
Snowman,/ˈsnoʊˌmæn/,Người tuyết,Từ vựng về Giáng sinh
Mistletoe,/ˈmɪsəlˌtoʊ/,Cây phù dung,Từ vựng về Giáng sinh
Holly,/ˈhɑli/,Cây nguyệt quế,Từ vựng về Giáng sinh
Wreath,/riːθ/,Vòng hoa,Từ vựng về Giáng sinh
Carols,/ˈkærəlz/,Bài hát Giáng sinh,Từ vựng về Giáng sinh
Nativity,/nəˈtɪvəti/,Màn trình diễn Giáng sinh,Từ vựng về Giáng sinh
Candles,/ˈkændəlz/,Nến,Từ vựng về Giáng sinh
Gingerbread,/ˈdʒɪndʒərˌbrɛd/,Bánh quy gừng,Từ vựng về Giáng sinh
Eggnog,/ˈɛɡˌnɔɡ/,Rượu trứng,Từ vựng về Giáng sinh
Fireplace,/ˈfaɪərˌpleɪs/,"Lò sưởi, lò lửa",Từ vựng về Giáng sinh
Ornaments,/ˈɔrnəmənts/,Đồ trang trí,Từ vựng về Giáng sinh
Snowflake,/ˈsnoʊˌfleɪk/,Tuyết rơi,Từ vựng về Giáng sinh
